GEOCODE,NAME,total_pop,one_race_pop,multi_race,hisp_latino,not_hisp_latino,one_race_nh,white_alone_nh,black_alone_nh,asian_alone_nh,other_races,pct_hisp_lat,pct_multi_race,pct_white,pct_black,pct_asian,pct_other_races
21001970100,Census Tract 9701,1621,1559,51,36,1585,1534,1525,6,0,3,2.22,3.15,94.08,0.37,0.0,0.19
21001970200,Census Tract 9702,1755,1701,43,54,1701,1658,1616,35,0,7,3.08,2.45,92.08,1.99,0.0,0.4
21001970300,Census Tract 9703,3005,2916,63,103,2902,2839,2818,9,9,3,3.43,2.1,93.78,0.3,0.3,0.1
21001970401,Census Tract 9704.01,4346,4194,126,171,4175,4049,3835,196,9,9,3.93,2.9,88.24,4.51,0.21,0.21
21001970402,Census Tract 9704.02,4535,4378,132,199,4336,4204,3894,226,37,47,4.39,2.91,85.87,4.98,0.82,1.04
21001970500,Census Tract 9705,2334,2222,97,55,2279,2182,2122,19,8,33,2.36,4.16,90.92,0.81,0.34,1.41
21001970600,Census Tract 9706,1307,1256,41,25,1282,1241,1234,7,0,0,1.91,3.14,94.41,0.54,0.0,0.0
21003920100,Census Tract 9201,3295,3189,85,93,3202,3117,3070,31,0,16,2.82,2.58,93.17,0.94,0.0,0.49
21003920200,Census Tract 9202,2868,2739,96,64,2804,2708,2697,3,3,5,2.23,3.35,94.04,0.1,0.1,0.17
21003920300,Census Tract 9203,5101,4876,176,138,4963,4787,4660,85,26,16,2.71,3.45,91.35,1.67,0.51,0.31
21003920400,Census Tract 9204,4563,4345,175,128,4435,4260,4156,63,9,32,2.81,3.84,91.08,1.38,0.2,0.7
21003920500,Census Tract 9205,1413,1354,39,46,1367,1328,1313,7,5,3,3.26,2.76,92.92,0.5,0.35,0.21
21003920600,Census Tract 9206,3348,3187,118,105,3243,3125,3091,15,5,14,3.14,3.52,92.32,0.45,0.15,0.42
21005950101,Census Tract 9501.01,1987,1913,58,45,1942,1884,1841,38,5,0,2.26,2.92,92.65,1.91,0.25,0.0
21005950102,Census Tract 9501.02,6988,6619,310,178,6810,6500,6171,262,31,36,2.55,4.44,88.31,3.75,0.44,0.52
21005950201,Census Tract 9502.01,5681,5399,236,140,5541,5305,5132,115,35,23,2.46,4.15,90.34,2.02,0.62,0.4
21005950202,Census Tract 9502.02,3966,3756,180,72,3894,3714,3624,40,19,31,1.82,4.54,91.38,1.01,0.48,0.78
21005950300,Census Tract 9503,2382,2279,88,47,2335,2247,2218,12,13,4,1.97,3.69,93.12,0.5,0.55,0.17
21005950400,Census Tract 9504,2848,2740,97,39,2809,2712,2668,15,1,28,1.37,3.41,93.68,0.53,0.04,0.98
21007950100,Census Tract 9501,3975,3793,157,38,3937,3780,3629,130,14,7,0.96,3.95,91.3,3.27,0.35,0.18
21007950200,Census Tract 9502,1420,1356,59,15,1405,1346,1291,50,5,0,1.06,4.15,90.92,3.52,0.35,0.0
21007950300,Census Tract 9503,2333,2213,96,40,2293,2197,2154,28,10,5,1.71,4.11,92.33,1.2,0.43,0.21
21009950100,Census Tract 9501,3590,3475,84,111,3479,3395,3278,72,30,15,3.09,2.34,91.31,2.01,0.84,0.42
21009950200,Census Tract 9502,3537,3371,141,115,3422,3281,3087,150,29,15,3.25,3.99,87.28,4.24,0.82,0.42
21009950300,Census Tract 9503,3507,3304,152,143,3364,3212,3053,130,8,21,4.08,4.33,87.05,3.71,0.23,0.6
21009950401,Census Tract 9504.01,2637,2435,137,252,2385,2248,1877,270,58,43,9.56,5.2,71.18,10.24,2.2,1.63
21009950402,Census Tract 9504.02,3612,3351,192,222,3390,3198,2777,374,9,38,6.15,5.32,76.88,10.35,0.25,1.05
21009950500,Census Tract 9505,4033,3815,167,212,3821,3654,3405,198,30,21,5.26,4.14,84.43,4.91,0.74,0.52
21009950601,Census Tract 9506.01,3048,2863,153,183,2865,2712,2440,233,11,28,6.0,5.02,80.05,7.64,0.36,0.92
21009950602,Census Tract 9506.02,3318,3046,79,246,3072,2993,2786,135,51,21,7.41,2.38,83.97,4.07,1.54,0.63
21009950701,Census Tract 9507.01,2269,2194,65,37,2232,2167,2126,33,5,3,1.63,2.86,93.7,1.45,0.22,0.13
21009950702,Census Tract 9507.02,4046,3905,111,75,3971,3860,3765,48,15,32,1.85,2.74,93.05,1.19,0.37,0.79
21009950800,Census Tract 9508,3497,3382,77,102,3395,3318,3279,24,6,9,2.92,2.2,93.77,0.69,0.17,0.26
21009950900,Census Tract 9509,3913,3792,80,104,3809,3729,3709,4,0,16,2.66,2.04,94.79,0.1,0.0,0.41
